売買回転率_区間	10倍株件数	全体件数
(0.0, 1.0]	6	69
(1.0, 10.0]	37	318
(10.0, 20.0]	15	86
(20.0, 30.0]	6	40
(30.0, 40.0]	7	24
(40.0, 50.0]	8	16
(50.0, 60.0]	3	9
(60.0, 70.0]	0	5
(70.0, 80.0]	1	4
(80.0, 90.0]	4	7
(90.0, 100.0]	2	3
(100.0, inf]	9	29
