経常利益率_平均_区間	10倍株件数	全体件数
(-inf, -100.0]	0	0
(-100.0, -90.0]	0	0
(-90.0, -80.0]	0	0
(-80.0, -70.0]	0	0
(-70.0, -60.0]	0	0
(-60.0, -50.0]	0	0
(-50.0, -40.0]	0	0
(-40.0, -30.0]	0	0
(-30.0, -20.0]	0	0
(-20.0, -10.0]	0	0
(-10.0, 0.0]	0	0
(0.0, 10.0]	48	385
(10.0, 20.0]	27	153
(20.0, 30.0]	7	41
(30.0, 40.0]	4	19
(40.0, 50.0]	4	10
(50.0, 60.0]	2	6
(60.0, 70.0]	0	3
(70.0, 80.0]	0	0
(80.0, 90.0]	0	0
(90.0, 100.0]	0	0
(100.0, inf]	5	23
