オーナー株%_区間	10倍株件数	全体件数
(0, 1]	2	4
(1, 10]	3	42
(10, 20]	6	36
(20, 30]	7	44
(30, 40]	8	44
(40, 50]	6	48
(50, 60]	6	72
(60, 70]	14	89
(70, 80]	13	93
(80, 90]	15	78
(90, 100]	14	98
