売上成長率_平均_区間	10倍株件数	全体件数
(-inf, -100.0]	0	0
(-100.0, -90.0]	0	0
(-90.0, -80.0]	0	0
(-80.0, -70.0]	0	0
(-70.0, -60.0]	0	0
(-60.0, -50.0]	0	1
(-50.0, -40.0]	1	2
(-40.0, -30.0]	1	4
(-30.0, -20.0]	0	5
(-20.0, -10.0]	2	16
(-10.0, 0.0]	6	38
(0.0, 10.0]	11	110
(10.0, 20.0]	15	116
(20.0, 30.0]	14	96
(30.0, 40.0]	11	52
(40.0, 50.0]	5	42
(50.0, 60.0]	4	25
(60.0, 70.0]	4	24
(70.0, 80.0]	2	15
(80.0, 90.0]	0	8
(90.0, 100.0]	1	7
(100.0, inf]	21	93
