売上成長率_平均_区間	7倍株件数	全体件数
(-inf, -100.0]	0	0
(-100.0, -90.0]	0	0
(-90.0, -80.0]	0	0
(-80.0, -70.0]	0	0
(-70.0, -60.0]	0	0
(-60.0, -50.0]	0	1
(-50.0, -40.0]	1	2
(-40.0, -30.0]	2	4
(-30.0, -20.0]	1	5
(-20.0, -10.0]	4	16
(-10.0, 0.0]	9	38
(0.0, 10.0]	20	110
(10.0, 20.0]	23	116
(20.0, 30.0]	24	96
(30.0, 40.0]	15	52
(40.0, 50.0]	9	42
(50.0, 60.0]	5	25
(60.0, 70.0]	5	24
(70.0, 80.0]	6	15
(80.0, 90.0]	2	8
(90.0, 100.0]	1	7
(100.0, inf]	28	93
