経常利益率_平均_区間	3倍株件数	全体件数
(-inf, -100.0]	0	0
(-100.0, -90.0]	0	0
(-90.0, -80.0]	0	0
(-80.0, -70.0]	0	0
(-70.0, -60.0]	0	0
(-60.0, -50.0]	0	0
(-50.0, -40.0]	0	0
(-40.0, -30.0]	0	0
(-30.0, -20.0]	0	0
(-20.0, -10.0]	0	0
(-10.0, 0.0]	0	0
(0.0, 10.0]	258	385
(10.0, 20.0]	103	153
(20.0, 30.0]	32	41
(30.0, 40.0]	15	19
(40.0, 50.0]	7	10
(50.0, 60.0]	6	6
(60.0, 70.0]	1	3
(70.0, 80.0]	0	0
(80.0, 90.0]	0	0
(90.0, 100.0]	0	0
(100.0, inf]	16	23
