オーナー株%_区間	3倍株件数	全体件数
(0, 1]	3	4
(1, 10]	26	42
(10, 20]	25	36
(20, 30]	31	44
(30, 40]	32	44
(40, 50]	32	48
(50, 60]	55	72
(60, 70]	54	89
(70, 80]	73	93
(80, 90]	48	78
(90, 100]	63	98
