売買回転率_区間	5倍株件数	全体件数
(0.0, 1.0]	17	69
(1.0, 10.0]	110	318
(10.0, 20.0]	46	86
(20.0, 30.0]	17	40
(30.0, 40.0]	15	24
(40.0, 50.0]	14	16
(50.0, 60.0]	7	9
(60.0, 70.0]	3	5
(70.0, 80.0]	2	4
(80.0, 90.0]	5	7
(90.0, 100.0]	3	3
(100.0, inf]	17	29
